"seed_id","category","source_name","homepage_url","note"
"S001","university","HUTECH","https://www.hutech.edu.vn/","Official university site with multiple portal/login surfaces."
"S002","university","HCMUS","https://www.hcmus.edu.vn/","Official university site with student/portal style URLs."
"S005","university","UIT","https://www.uit.edu.vn/","Official university site with multilingual subdomains."
"S006","university","UEH","https://www.ueh.edu.vn/","Official university site with many subdomains and utility pages."
"S008","university","DUT_UDN","https://dut.udn.vn/","Official university site with legacy HTTP pages."
"S014","government","CHINHPHU","https://chinhphu.vn/","Official government portal with file/download services."
"S015","government","MOET","https://moet.gov.vn/","Official ministry site with login/mail services."
"S016","government","MOJ","https://moj.gov.vn/","Official ministry site with CAS/login style services."
"S022","government","HANOI_GOV","https://hanoi.gov.vn/","Official local government portal with file/document URLs."
"S024","banking","VIETCOMBANK","https://www.vietcombank.com.vn/","Official bank site with HTTP and tra-cuu utility URLs."
"S025","banking","ACB","https://www.acb.com.vn/","Official bank site with online banking flows."
"S026","banking","TECHCOMBANK","https://www.techcombank.com/","Official bank site with login/dang-nhap pages."
